"deidentified_id" "deidentified_sample" "Total Cells" "FOXP3 (Opal 620) Positive Cells" "CD3 (Opal 570) Positive Cells" "CD8 (Opal 520) Positive Cells" "PD1 (Opal 650) Positive Cells" "PDL1 (Opal 540) Positive Cells" "CD3+ FOXP3+ Cells" "CD3+ CD8+ Cells" "CD3+ CD8+ FOXP3+ Cells" "CD3+ PD1+ Cells" "CD3+ PD-L1+ Cells" "CD8+ PD1+ Cells" "CD3+ CD8+ PD-L1+ Cells" "% FOXP3 (Opal 620) Positive Cells" "% CD3 (Opal 570) Positive Cells" "% CD8 (Opal 520) Positive Cells" "% PD1 (Opal 650) Positive Cells" "% PDL1 (Opal 540) Positive Cells" "% CD3+ FOXP3+ Positive Cells" "% CD3+ CD8+ Positive Cells" "% CD3+ CD8+ FOXP3+ Positive Cells" "% CD3+ PD1+ Positive Cells" "% CD3+ PD-L1+ Positive Cells" "% CD8+ PD1+ Positive Cells" "% CD3+ CD8+ PD-L1+ Positive Cells" "Area Analyzed (μm²)" "Area Analyzed (mm²)"
198 "TMA3_[12,Q].tif" 1472 6 37 29 0 0 6 15 1 0 0 0 0 0.407609 2.513587 1.970109 0 0 0.407609 1.019022 0.067935 0 0 0 0 297716.84375 0.29771684375
272 "TMA3_[13,S].tif" 1095 3 19 7 0 0 1 1 0 0 0 0 0 0.273973 1.73516 0.639269 0 0 0.091324 0.091324 0 0 0 0 0 202001.390625 0.202001390625
127 "TMA3_[10,I].tif" 332 0 16 18 0 0 0 7 0 0 0 0 0 0 4.819277 5.421687 0 0 0 2.108434 0 0 0 0 0 95751.257813 0.095751257813
122 "TMA3_[7,N].tif" 1240 0 5 17 0 0 0 2 0 0 0 0 0 0 0.403226 1.370968 0 0 0 0.16129 0 0 0 0 0 268881.71875 0.26888171875
1000 "TMA3_[7,R].tif" 1028 3 90 86 0 0 3 32 0 0 0 0 0 0.291829 8.754864 8.365759 0 0 0.291829 3.11284 0 0 0 0 0 242663.671875 0.242663671875
371 "TMA3_[7,U].tif" 2286 10 36 18 0 0 5 9 0 0 0 0 0 0.437445 1.574803 0.787402 0 0 0.218723 0.393701 0 0 0 0 0 348478.28125 0.34847828125
38 "TMA3_[8,L].tif" 1582 8 117 0 0 0 8 0 0 0 0 0 0 0.505689 7.395701 0 0 0 0.505689 0 0 0 0 0 0 318245.96875 0.31824596875
770 "TMA3_[8,T].tif" 2384 0 3 9 0 0 0 3 0 0 0 0 0 0 0.125839 0.377517 0 0 0 0.125839 0 0 0 0 0 311660.59375 0.31166059375
690 "TMA3_[9,D].tif" 1898 1 12 33 0 5 1 5 0 0 0 0 0 0.052687 0.632244 1.738672 0 0.263435 0.052687 0.263435 0 0 0 0 0 332168.71875 0.33216871875
992 "TMA3_[5,B].tif" 1112 0 5 2 0 7 0 1 0 0 0 0 0 0 0.44964 0.179856 0 0.629496 0 0.089928 0 0 0 0 0 209921.25 0.20992125
471 "TMA3_[6,E].tif" 2112 11 52 35 0 10 9 15 1 0 1 0 0 0.520833 2.462121 1.657197 0 0.473485 0.426136 0.710227 0.047348 0 0.047348 0 0 337457.6875 0.3374576875
956 "TMA3_[2,A].tif" 1471 11 86 28 0 0 8 15 0 0 0 0 0 0.747791 5.846363 1.903467 0 0 0.543848 1.019714 0 0 0 0 0 314804.3125 0.3148043125
446 "TMA3_[2,J].tif" 768 2 18 14 0 0 2 5 0 0 0 0 0 0.260417 2.34375 1.822917 0 0 0.260417 0.651042 0 0 0 0 0 157472.8125 0.1574728125
177 "TMA3_[2,K].tif" 659 9 59 19 0 0 7 13 1 0 0 0 0 1.365706 8.952959 2.883156 0 0 1.062215 1.972686 0.151745 0 0 0 0 226012.703125 0.226012703125
143 "TMA3_[2,N].tif" 2911 28 156 159 1 0 28 74 2 1 0 0 0 0.961869 5.358983 5.46204 0.034352 0 0.961869 2.542082 0.068705 0.034352 0 0 0 420148.09375 0.42014809375
